,GEOID,year,kgha_spr_wheat_yld,pred,harvested_hac,HighD+LowS_pred_yld,HighD+LowS_gap,HighD+HighS_pred_yld,HighD+HighS_gap,LowD+LowS_pred_yld,LowD+LowS_gap,all_pred_yld,all_gap,crop_name
1825,27171,1993.0,2286.516313553066,2302.2233686762665,6662.085250240798,2302.223368676263,0.0,2302.223368676263,0.0,2302.223368676263,0.0,2302.223368676263,0.0,Spring Wheat
1826,27171,1994.0,2219.265833742682,2337.3911022293387,6662.085250240798,2444.4723665545753,107.08126432523659,2385.5750950932897,48.18399286395106,2337.391102229334,0.0,2492.656359418531,155.2652571891922,Spring Wheat
1827,27171,1995.0,2959.0211116569085,2091.5113022427513,6662.085250240798,2358.702489668174,267.19118742542287,2139.695295106704,48.18399286395288,2091.5113022427486,0.0,2406.88648253213,315.3751802893785,Spring Wheat
1828,27171,1996.0,2690.019192415372,2541.9894747910657,6662.085250240798,2649.0707391163132,107.0812643252475,2541.989474791072,6.366462912410498e-12,2541.989474791072,6.366462912410498e-12,2649.0707391163132,107.0812643252475,Spring Wheat
1829,27171,1997.0,1950.2639145011447,2114.6610705922612,6662.085250240798,2281.6331545620883,166.97208396982705,2114.661070592254,0.0,2114.661070592254,0.0,2281.6331545620883,166.97208396982705,Spring Wheat
1830,27171,1998.0,2622.7687126049873,2541.8132549750017,6662.085250240798,2541.813254974997,0.0,2589.9972478389527,48.18399286395106,2541.813254974997,0.0,2589.9972478389527,48.18399286395106,Spring Wheat
1831,27171,1999.0,2757.269672225756,2464.1243442525665,6662.085250240798,2571.205608577796,107.08126432522931,2464.1243442525547,0.0,2464.1243442525547,0.0,2571.205608577796,107.08126432522931,Spring Wheat
1832,27171,2000.0,2824.5201520361406,2814.0433971494567,6662.085250240798,2973.6413468619576,159.59794971250085,2814.043397149453,0.0,2814.043397149453,0.0,2973.6413468619576,159.59794971250085,Spring Wheat
1833,27171,2001.0,2488.267752984219,2461.0335214583806,6662.085250240798,2604.6663697817253,143.63284832334466,2605.5855000502434,144.55197859186273,2461.0335214583765,0.0,2749.2183483735926,288.18482691521194,Spring Wheat
1834,27171,2002.0,2152.0153539322973,2237.1699066387987,6662.085250240798,2290.7105388014165,53.54063216261784,2333.537892366707,96.36798572790849,2237.169906638796,0.0,2387.0785245293278,149.90861789052906,Spring Wheat
1835,27171,2003.0,2690.019192415372,3136.1006425748974,6662.085250240798,3189.6412747375116,53.5406321626142,3136.100642574891,0.0,3136.100642574891,0.0,3189.6412747375116,53.5406321626142,Spring Wheat
1836,27171,2004.0,3429.7744703295994,3087.802746906129,6662.085250240798,3087.8027469061135,0.0,3179.569920248849,91.76717334272007,3087.8027469061135,0.0,3179.569920248849,91.76717334272007,Spring Wheat
1837,27171,2005.0,3631.525909760752,2692.7808614018113,6662.085250240798,2692.780861401808,0.0,2740.964854265764,48.18399286395288,2692.780861401808,0.0,2740.964854265764,48.18399286395288,Spring Wheat
1838,27171,2006.0,2488.267752984219,2710.3377955927144,6662.085250240798,3511.515050889927,801.1772552972125,2710.337795592706,0.0,2710.337795592706,0.0,3511.515050889927,801.1772552972125,Spring Wheat
1839,27171,2007.0,2421.017273173835,2461.45611273744,6662.085250240798,3413.9319566146396,952.4758438771996,2461.456112737429,0.0,2493.525821676278,32.069708938838176,3446.0016655534887,984.5455528160487,Spring Wheat
1840,27171,2009.0,2555.5182327946036,3179.3387719686198,6662.085250240798,3377.024225842257,197.68545387363702,3179.338771968609,0.0,3179.338771968609,0.0,3377.024225842257,197.68545387363702,Spring Wheat
1841,27171,2010.0,3080.0719753156004,3159.113468633479,6662.085250240798,3266.1947329587147,107.08126432523568,3207.297461497429,48.18399286395015,3159.1134686334735,0.0,3314.3787258226703,155.2652571891913,Spring Wheat
1842,27171,2011.0,1903.1885786338755,2468.134491397128,6662.085250240798,2468.1344913971216,0.0,2564.502477125033,96.36798572790485,2468.1344913971216,0.0,2564.502477125033,96.36798572790485,Spring Wheat
1843,27171,2012.0,3389.4241824433684,3322.960800541967,6662.085250240798,3375.989459316896,53.02865877492923,3563.880764861732,240.9199643197653,3322.9608005419536,0.0,3616.9094236366745,293.9486230947077,Spring Wheat
1844,27171,2013.0,2535.343088851488,3163.7803224803447,6662.085250240798,3217.3209546429575,53.54063216261284,3211.9643153442926,48.18399286394788,3163.780322480337,0.0,3265.504947506913,101.72462502656845,Spring Wheat
1845,27171,2014.0,2979.196255600024,3549.8594036498816,6662.085250240798,3549.859403649877,0.0,3549.859403649877,0.0,3549.859403649877,0.0,3549.859403649877,0.0,Spring Wheat
1846,27171,2015.0,3866.902589097097,3587.4587072725035,6662.085250240798,3640.999339435128,53.54063216262466,3587.4587072725076,4.092726157978177e-12,3587.4587072725076,4.092726157978177e-12,3640.999339435128,53.54063216262466,Spring Wheat
1847,27171,2016.0,3476.8498061968685,3612.3038114021574,6662.085250240798,3665.8444435647757,53.540632162618294,3660.4878042661107,48.183992863953335,3612.303811402155,0.0,3714.0284364287313,101.7246250265739,Spring Wheat
1848,27171,2017.0,3631.525909760752,3318.831674309792,6662.085250240798,3425.9129386350205,107.0812643252284,3367.015667173735,48.183992863942876,3318.8316743097794,0.0,3474.096931498976,155.265257189184,Spring Wheat
1849,27171,2018.0,2891.770631846525,3199.1562306278,6662.085250240798,3518.86410344048,319.70787281267985,3199.156230627792,0.0,3199.156230627792,0.0,3518.86410344048,319.70787281267985,Spring Wheat
1850,27171,2019.0,2494.9928009652576,3276.1518655907685,6662.085250240798,3276.151865590763,0.0,3324.3358584547186,48.18399286395015,3276.151865590763,0.0,3324.3358584547186,48.18399286395015,Spring Wheat
1851,27173,1981.0,2252.891073647874,2689.550635029367,46211.26659083573,3009.258507842047,319.70787281267985,2689.550635029359,0.0,2689.550635029359,0.0,3009.258507842047,319.70787281267985,Spring Wheat
1852,27173,1982.0,2622.7687126049873,2852.448942169923,46211.26659083573,2852.448942169922,0.0,2992.400108376613,139.95116620668978,2852.448942169922,0.0,2992.400108376613,139.95116620668978,Spring Wheat
1853,27173,1983.0,2353.7667933634502,2590.9226365886643,46211.26659083573,2590.9226365886598,0.0,3045.1576909171636,454.23505432849925,2590.9226365886598,0.0,3045.1576909171636,454.23505432849925,Spring Wheat
1854,27173,1984.0,2891.770631846525,3126.661092708602,46211.26659083573,3126.6610927085985,0.0,3280.6987148664157,154.03762215781353,3126.6610927085985,0.0,3280.6987148664157,154.03762215781353,Spring Wheat
1855,27173,1985.0,3900.5278290022893,3182.3217226565835,46211.26659083573,3182.321722656584,4.547473508864641e-13,3574.570346965605,392.2486243090216,3182.321722656584,4.547473508864641e-13,3574.570346965605,392.2486243090216,Spring Wheat
1856,27173,1986.0,2757.269672225756,2654.9761629868112,46211.26659083573,2654.976162986807,0.0,2829.3088849019277,174.3327219151165,2654.976162986807,0.0,2829.3088849019277,174.3327219151165,Spring Wheat
1857,27173,1987.0,2891.770631846525,2913.670534977836,46211.26659083573,2913.670534977832,0.0,3893.3286984246724,979.6581634468366,2913.670534977832,0.0,3893.3286984246724,979.6581634468366,Spring Wheat
1858,27173,1988.0,1479.5105558284542,1820.208308937452,46211.26659083573,3261.197616839096,1440.989307901644,2437.3985913985216,617.1902824610695,1820.2083089374494,0.0,3878.3878993001686,2058.179590362716,Spring Wheat
1859,27173,1989.0,2017.5143943115288,2771.2832865159,46211.26659083573,3038.986447328996,267.703160813096,3152.154417042363,380.8711305264633,2771.2832865158935,0.0,3419.8575778554655,648.5742913395657,Spring Wheat
1860,27173,1990.0,3026.271591467293,3004.276969657504,46211.26659083573,3004.2769696575024,0.0,3158.314591815319,154.0376221578149,3004.2769696575024,0.0,3158.314591815319,154.0376221578149,Spring Wheat
1861,27173,1991.0,1748.5124750699915,2464.606425703577,46211.26659083573,2464.6064257035664,0.0,2631.784578704208,167.17815300063103,2464.6064257035664,0.0,2631.784578704208,167.17815300063103,Spring Wheat
1862,27173,1992.0,3497.024950139983,3179.604980803616,46211.26659083573,3179.6049808036164,4.547473508864641e-13,3493.8888689254286,314.28388812181265,3179.6049808036164,4.547473508864641e-13,3493.8888689254286,314.28388812181265,Spring Wheat
1863,27173,1993.0,2017.5143943115288,2448.4415045666847,46211.26659083573,2448.441504566674,0.0,2515.312765766931,66.87126120024641,2448.441504566674,0.0,2515.312765766931,66.87126120024641,Spring Wheat
1864,27173,1994.0,2757.269672225756,2820.5372522219095,46211.26659083573,2820.5372522219095,0.0,3082.0363350945904,261.4990828726809,2820.5372522219095,0.0,3082.0363350945904,261.4990828726809,Spring Wheat
1865,27173,1995.0,2891.770631846525,2503.6419097365297,46211.26659083573,2503.641909736526,0.0,2808.724173087987,305.0822633514572,2503.641909736526,0.0,2808.724173087987,305.0822633514572,Spring Wheat
1866,27173,1996.0,2891.770631846525,2981.2377623621414,46211.26659083573,2981.237762362135,0.0,3242.736845234816,261.49908287267453,2981.237762362135,0.0,3242.736845234816,261.49908287267453,Spring Wheat
1867,27173,1997.0,2421.017273173835,2735.679399142912,46211.26659083573,2735.6793991429086,0.0,2914.612933443205,178.93353430029265,2735.6793991429086,0.0,2914.612933443205,178.93353430029265,Spring Wheat
1868,27173,1998.0,2959.0211116569085,3273.3331816908067,46211.26659083573,3273.333181690809,2.2737367544323206e-12,3316.916362169589,43.5831804787822,3273.333181690809,2.2737367544323206e-12,3316.916362169589,43.5831804787822,Spring Wheat
1869,27173,1999.0,3160.772551088062,2971.1843804076666,46211.26659083573,2971.18438040766,0.0,3058.3507413652205,87.16636095755393,2971.18438040766,0.0,3058.3507413652205,87.16636095755393,Spring Wheat
1870,27173,2000.0,3564.2754299503677,3447.217741932462,46211.26659083573,3447.217741932462,0.0,3674.335269096714,227.1175271642519,3447.217741932462,0.0,3674.335269096714,227.1175271642519,Spring Wheat
1871,27173,2001.0,3833.277349191905,3114.40613061813,46211.26659083573,3114.406130618123,0.0,3378.898194454977,264.4920638368467,3114.406130618123,0.0,3378.898194454977,264.4920638368467,Spring Wheat
1872,27173,2002.0,2622.7687126049873,2805.1119452589846,46211.26659083573,2805.1119452589805,0.0,3027.6286600380568,222.51671477907212,2805.1119452589805,0.0,3027.6286600380568,222.51671477907212,Spring Wheat
1873,27173,2003.0,3900.5278290022893,3706.0733070015494,46211.26659083573,3706.073307001544,0.0,3836.822848437884,130.74954143633477,3706.073307001544,0.0,3836.822848437884,130.74954143633477,Spring Wheat
1874,27173,2004.0,4035.0287886230576,3614.320791350415,46211.26659083573,3614.3207913504084,0.0,3739.5235952932726,125.20280394285737,3614.3207913504084,0.0,3739.5235952932726,125.20280394285737,Spring Wheat
1875,27173,2005.0,3631.525909760752,3462.1175967972767,46211.26659083573,3462.1175967972727,0.0,3528.9888579975295,66.87126120025277,3462.1175967972727,0.0,3528.9888579975295,66.87126120025277,Spring Wheat
1876,27173,2006.0,3631.525909760752,3352.914374689437,46211.26659083573,3780.2154852150384,427.3011105256014,3570.830277083333,217.91590239389598,3352.914374689432,0.0,3998.1313876089393,645.2170129195024,Spring Wheat
1877,27173,2007.0,3698.7763895711364,3511.1999924960237,46211.26659083573,3564.7406246586424,53.54063216261875,3641.9495339323626,130.74954143633886,3511.199992496022,0.0,3695.490166094983,184.29017359895943,Spring Wheat
1878,27173,2008.0,3766.0268693815206,3420.0791385766447,46211.26659083573,3580.7010350644964,160.6218964878517,3420.0791385766347,0.0,3420.0791385766347,0.0,3580.7010350644964,160.6218964878517,Spring Wheat
1879,27173,2009.0,3934.1530689074816,3783.4106537324437,46211.26659083573,3783.410653732446,2.2737367544323206e-12,3962.3441880327423,178.93353430029856,3783.410653732446,2.2737367544323206e-12,3962.3441880327423,178.93353430029856,Spring Wheat
1880,27173,2010.0,3718.9515335142514,3614.9192922486013,46211.26659083573,3614.919292248598,0.0,3789.2520141637187,174.33272191511742,3614.919292248598,0.0,3789.2520141637187,174.33272191511742,Spring Wheat
1881,27173,2011.0,2515.1679449083726,2883.006557310073,46211.26659083573,2883.006557310069,0.0,2970.17291826763,87.16636095755712,2883.006557310069,0.0,2970.17291826763,87.16636095755712,Spring Wheat
1882,27173,2012.0,3503.7499981210217,3804.264984629708,46211.26659083573,3804.2649846296954,0.0,4214.916858479419,410.6518738497107,3804.2649846296954,0.0,4214.916858479419,410.6518738497107,Spring Wheat
1883,27173,2013.0,3833.277349191905,3705.805262134009,46211.26659083573,3705.8052621340016,0.0,3880.137984049122,174.33272191511332,3705.8052621340016,0.0,3880.137984049122,174.33272191511332,Spring Wheat
1884,27173,2014.0,3833.277349191905,3909.6413416403025,46211.26659083573,3909.641341640297,0.0,3996.8077025978573,87.16636095755484,3909.641341640297,0.0,3996.8077025978573,87.16636095755484,Spring Wheat
1885,27173,2015.0,4378.006235656017,4083.7206112993717,46211.26659083573,4083.720611299371,0.0,4127.303791778151,43.58318047877947,4083.720611299371,0.0,4127.303791778151,43.58318047877947,Spring Wheat
1886,27173,2016.0,4310.755755845633,4081.20047226704,46211.26659083573,4081.200472267043,3.183231456205249e-12,4434.46672848246,353.26625621542007,4081.200472267043,3.183231456205249e-12,4434.46672848246,353.26625621542007,Spring Wheat
1887,27173,2017.0,4868.934738271823,3746.738209728394,46211.26659083573,3800.2788418910186,53.54063216262466,4278.938000244111,532.1997905157173,3746.738209728398,4.092726157978177e-12,4332.478632406732,585.7404226783378,Spring Wheat
1888,27173,2020.0,2777.4448161688715,3865.4520625533737,46211.26659083573,3865.4520625533714,0.0,4223.319131153963,357.8670686005894,3865.4520625533714,0.0,4223.319131153963,357.8670686005894,Spring Wheat
1889,30005,1981.0,1768.687619013107,1501.0391497332598,330678.73025402153,2345.5177305162106,844.4785807829508,1501.0391497332553,0.0,1501.0391497332553,0.0,2345.5177305162106,844.4785807829508,Spring Wheat
1890,30005,1982.0,2152.0153539322973,1798.2765841119267,330678.73025402153,2317.9356609844153,519.6590768724886,1925.8224475753332,127.54586346340648,1798.2765841119212,0.0,2445.4815244478273,647.2049403359006,Spring Wheat
1891,30005,1983.0,2347.0417453824116,1446.7361155961403,330678.73025402153,2435.6503465090295,988.9142309128893,1489.251403417271,42.51528782113064,1446.736115596134,0.0,2478.1656343301665,1031.4295187340263,Spring Wheat
1892,30005,1984.0,1277.7591163973018,1049.560019257499,330678.73025402153,2967.9497337627354,1918.3897145052363,1049.56001925748,0.0,1049.56001925748,0.0,2967.9497337627354,1918.3897145052363,Spring Wheat
1893,30005,1985.0,780.1055658004578,1679.4764120460375,330678.73025402153,3041.8071048037946,1362.330692757757,1679.4764120460352,0.0,1679.4764120460352,0.0,3041.8071048037946,1362.330692757757,Spring Wheat
