,year,HighD+LowS_gap_wyld,HighD+HighS_gap_wyld,LowD+HighS_gap_wyld,all_gap_wyld,kgha_maize_yld_wyld,pred_wyld,HighD+LowS_gap_wyld_%,HighD+HighS_gap_wyld_%,LowD+HighS_gap_wyld_%,all_gap_wyld_%
14,1995.0,0.37432672325172917,0.23345604383408503,0.684648065321615,1.292430832407397,6.95345938407627,7.325206204792892,-4.343728119852922,-2.709049392847608,-7.944730816187223,-14.99750832888738
15,1996.0,0.23005891372317508,0.1503832578469683,0.8610543372056192,1.2414965087757026,7.743685960365009,7.778241277265922,-2.5506164278877343,-1.667268621485781,-9.546334468149755,-13.764219517522605
16,1997.0,0.29201208118942956,0.0903777382968838,0.4574430808644845,0.8398329003507058,7.793855915376414,7.913508447039308,-3.3360070126420798,-1.032494160916411,-5.2259253090921725,-9.594426482649611
17,1998.0,0.2904230337874895,0.1511875954885166,0.567356453207196,1.0089670824831722,8.419525794058288,8.362648030546948,-3.098964589184747,-1.613250156617168,-6.053987987816038,-10.766202733617634
18,1999.0,0.5572519445155238,0.11813487332558713,0.43042414442415244,1.105810962265211,8.315433803315745,8.218518178652022,-5.9763221149088155,-1.2669530594666052,-4.6161406136486045,-11.859415788023464
19,2000.0,0.4219400845278468,0.09699943934449509,0.3111300661711547,0.8300695900434287,8.74072996309218,9.070449900327121,-4.261797423238593,-0.9797409059073996,-3.142563038977563,-8.38410136812287
20,2001.0,0.3453255000667673,0.15957025411255926,0.4805685270435676,0.9854642812228305,8.59930659622203,8.662916237065147,-3.5791032434119048,-1.6538553160305254,-4.980820627178584,-10.213779186620355
21,2002.0,0.8759559118971728,0.2255216585961611,0.48147263875942664,1.5829502092527188,8.096488389719946,7.693401762319998,-9.442892147489989,-2.431145985914181,-5.190323095058213,-17.064361228461934
22,2003.0,0.6840819612419724,0.06940935700846185,0.5795713780055664,1.333062696255934,8.931345728921205,8.618159509134653,-6.874351181419751,-0.6974958007757351,-5.8241225654835835,-13.3959695476784
23,2004.0,0.12790218120239685,0.04449302726047755,0.5299503448170544,0.7023455532798664,10.150692414382661,9.814509933479437,-1.2161637227346656,-0.4230639787386465,-5.039057021219515,-6.678284722692234
24,2005.0,1.0327583853821118,0.13048873599848468,0.2040878090234025,1.367334930403923,9.364120664331743,9.128465550959978,-9.839729587236853,-1.2432471084999894,-1.9444711185752441,-13.027447814311364
25,2006.0,0.891413887513896,0.19856542903149868,0.3595378888972548,1.449517205442585,9.442117123005087,9.39640488092222,-8.218885221705188,-1.8307842104188603,-3.3149591711455857,-13.364628603269042
26,2007.0,1.1763067365773447,0.2787370198522279,0.22238160822182618,1.6774253646513428,9.550170919113688,9.382536727647429,-10.6357212326833,-2.5202348572814453,-2.0106905102023274,-15.166646600166567
27,2008.0,0.3102420268739053,0.115707914754074,0.4128625580306991,0.8388124996586322,9.773475898514638,9.547135662423367,-2.987132441182079,-1.1140813813852009,-3.975203338083438,-8.076417160650273
28,2009.0,0.1693902235998774,0.13468061150556027,0.5032914937401209,0.8073623288455097,10.458367749029621,10.325446683373846,-1.521540730771137,-1.2097630648090254,-4.520795184644853,-7.252098980224576
29,2010.0,0.42344261393871735,0.15830220569256045,0.43152251637982675,1.0132673360110742,9.65117252364187,9.590627127779,-3.993274502916632,-1.4928685515791116,-4.069472002511715,-9.555615057007172
30,2011.0,0.6163883509442135,0.30174108789785153,0.4772863882479542,1.3954158270899946,9.420886805498071,9.359465796380682,-5.731242541982536,-2.8056197963104825,-4.437858127665105,-12.974720465957896
31,2012.0,3.2071018274422767,0.23596854729672245,0.10641252380852742,3.5494828985474536,7.4781704251685825,7.13193939070469,-30.025044798288008,-2.209149127398124,-0.9962392734495834,-33.230433199135035
32,2013.0,0.43356556299565335,0.17186892443729432,0.49358366554247535,1.0990181529753624,10.185234278786089,10.151559141968377,-3.853718361550277,-1.5276453814910995,-4.387185231501879,-9.768548974542716
33,2014.0,0.1330622259629861,0.08044837826831044,0.4461848427743822,0.659695447005617,10.97768388924631,11.078350207914337,-1.133597788548502,-0.6853643326441725,-3.801185102627077,-5.620147223819226
34,2015.0,0.1486409055659524,0.08268939844771636,0.5105294436766412,0.741859747690229,10.774902881363332,10.631017067282727,-1.3069771877794305,-0.7270754778496472,-4.489008823207369,-6.523061488835735
35,2016.0,0.3513809765240518,0.20784669441685824,0.3328468915809415,0.8920745625218044,11.498195069980827,11.11420011141628,-2.92664449270673,-1.7311505863515622,-2.7722745032932603,-7.430069582351159
36,2017.0,0.4561592265166154,0.24198343531467595,0.4459861619207561,1.1441288237520157,11.678091928721914,11.214917271948337,-3.690893479839927,-1.9579458919476052,-3.60858077935248,-9.257420151139756
37,2018.0,0.46684442146899124,0.2083349673011859,0.4723976964041236,1.1475770851742568,11.62598096841024,11.274379938974352,-3.7582195829645317,-1.6771509263490227,-3.802924897307004,-9.238295406620205
38,2019.0,0.08922118991420931,0.08000083278236804,0.8389359876774808,1.008158010373995,11.035496377143303,10.837882695608563,-0.7531730822868968,-0.67533815532109,-7.0819948073772565,-8.51050604498471
39,2020.0,0.4551258156123048,0.1915305320299985,0.44980015123979666,1.096456498882034,11.143152715583282,10.991259977666797,-3.7651926771717927,-1.584505496977726,-3.721134195300214,-9.070832369449185
